business_date,business_unit,customer_flagged,partner_name,balance_tier_description,no_of_customers,total_balance,unique_id,record_inserted_at

2025-02-06,Bank Jago,True,Partner A,T09: 1B to <2B IDR,79,1561497776.84,UID-00003,2025-01-14 13:27:45
2025-01-12,Bank Jago,False,Partner C,T10: >=2B IDR,159,9810677886.97,UID-00004,2025-02-28 09:12:56
2025-02-01,Bank Mandiri,False,Partner D,T07: 100M to <500M IDR,378,156023444.35,UID-00005,2025-03-05 18:43:22
2025-02-02,Bank America,False,Partner O,T00: 0 IDR,147,0.0,UID-00006,2025-04-19 03:58:11
2025-01-13,Unit H,False,Partner P,T04: 1M to <5M IDR,316,1947539.17,UID-00007,2025-05-22 21:34:59
2025-01-03,Unit I,False,Partner E,T06: 25M to <100M IDR,68,66092168.89,UID-00008,2025-06-11 14:07:33
2025-01-29,Unit D,False,Partner Q,T04: 1M to <5M IDR,243,2769205.59,UID-00009,2025-07-30 08:16:47
2025-02-03,Unit J,False,Partner N,T01: 0 to <250K IDR,406,77518.48,UID-00010,2025-08-17 23:52:09
2025-01-02,Unit B,False,Partner L,T05: 5M to <25M IDR,184,12883296.24,UID-00011,2025-09-03 10:45:28
2025-01-18,Unit K,False,Partner B,T06: 25M to <100M IDR,463,94120799.96,UID-00012,2025-10-25 16:38:41
2025-01-18,Unit A,False,Partner Q,T10: >=2B IDR,359,2237800906.07,UID-00013,2025-11-09 05:19:36
2025-01-05,Unit L,False,Partner I,T09: 1B to <2B IDR,426,1589304867.84,UID-00014,2025-12-24 12:23:50
2025-02-01,Unit D,False,Partner U,T10: >=2B IDR,104,4863544588.81,UID-00015,2025-01-07 19:48:14
2025-01-06,Unit A,False,Partner V,T01: 0 to <250K IDR,62,109828.88,UID-00016,2025-02-15 07:31:02
2025-01-04,Unit M,False,Partner M,T03: 500K to <1M IDR,101,513562.08,UID-00017,2025-03-22 15:10:55
2025-01-15,Unit C,False,Partner F,T02: 250K to <500K IDR,478,424927.51,UID-00018,2025-04-08 22:29:37
2025-02-04,Unit N,False,Partner K,T04: 1M to <5M IDR,251,3799494.74,UID-00019,2025-05-16 06:53:24
2025-02-03,Unit D,False,Partner G,T02: 250K to <500K IDR,30,411701.55,UID-00020,2025-07-12 17:36:13
2025-01-17,Unit E,False,Partner H,T04: 1M to <5M IDR,11,3236095.11,UID-00021,2025-08-28 04:14:52
2025-02-11,Unit A,False,Partner E,T09: 1B to <2B IDR,217,1269694300.22,UID-00022,2025-09-18 20:25:39
2025-01-24,Unit O,False,Partner R,T10: >=2B IDR,196,2691311829.97,UID-00023,2025-10-06 13:47:21
2025-01-14,Unit E,False,Partner L,T05: 5M to <25M IDR,96,18575664.89,UID-00024,2025-11-21 08:08:10
2025-02-10,Unit C,False,Partner C,T05: 5M to <25M IDR,131,23937353.33,UID-00025,2025-12-05 14:59:43
2025-02-03,Unit P,False,Partner L,T00: 0 IDR,251,0.0,UID-00026,2025-01-29 02:37:58
2025-01-27,Unit B,False,Partner D,T06: 25M to <100M IDR,311,76491009.91,UID-00027,2025-02-10 18:46:35
2025-01-20,Unit E,True,Partner Q,T08: 500M to <1B IDR,42,729680649.58,UID-00002,2025-03-14 12:13:06
2025-01-30,Unit D,False,Partner U,T06: 25M to <100M IDR,41,83204286.8,UID-00028,2025-04-27 09:51:20
2025-01-21,Unit A,False,Partner J,T04: 1M to <5M IDR,360,4620126.12,UID-00029,2025-05-04 16:22:44
2025-01-20,Unit B,False,Partner D,T00: 0 IDR,239,0.0,UID-00030,2025-06-18 03:01:17
2025-01-21,Unit Q,False,Partner A,T07: 100M to <500M IDR,337,183432642.64,UID-00031,2025-07-01 21:49:30
2025-01-25,Unit C,False,Partner S,T01: 0 to <250K IDR,163,127843.36,UID-00032,2025-08-15 10:33:54
2025-01-18,Unit R,False,Partner D,T06: 25M to <100M IDR,126,44643111.81,UID-00033,2025-09-29 19:12:26
2025-02-03,Unit E,False,Partner W,T08: 500M to <1B IDR,350,847932996.03,UID-00034,2025-10-13 05:28:05
2025-01-16,Unit D,False,Partner P,T03: 500K to <1M IDR,297,601075.99,UID-00035,2025-11-26 15:44:18
2025-02-11,Unit E,False,Partner Z,T01: 0 to <250K IDR,383,150205.12,UID-00036,2025-12-11 07:30:40
2025-01-22,Unit B,False,Partner T,T05: 5M to <25M IDR,407,21039504.16,UID-00037,2025-01-23 22:17:29
2025-02-05,Bank Mandiri,False,Partner Y,T09: 1B to <2B IDR,46,1618566967.98,UID-00038,2025-02-06 14:55:31
2025-02-01,Unit E,False,Partner I,T04: 1M to <5M IDR,463,1922459.39,UID-00039,2025-03-20 08:24:12
2025-01-31,Unit B,False,Partner B,T10: >=2B IDR,65,9595145143.37,UID-00040,2025-04-03 17:06:47
2025-01-17,Unit T,False,Partner N,T10: >=2B IDR,180,3093237411.84,UID-00041,2025-05-17 01:38:23
2025-01-28,Unit A,False,Partner J,T06: 25M to <100M IDR,172,31877032.3,UID-00042,2025-06-25 13:19:56
2025-02-04,Unit E,False,Partner E,T00: 0 IDR,71,0.0,UID-00043,2025-07-09 18:52:34
2025-02-07,Unit C,False,Partner X,T06: 25M to <100M IDR,365,90211900.83,UID-00044,2025-08-23 06:41:08
2025-01-26,Unit U,False,Partner H,T09: 1B to <2B IDR,247,1930570880.4,UID-00045,2025-09-07 23:27:42
2025-01-12,Unit E,False,Partner G,T07: 100M to <500M IDR,423,487069413.33,UID-00046,2025-10-21 11:15:38
2025-01-17,Unit V,False,Partner U,T09: 1B to <2B IDR,218,1457110732.82,UID-00047,2025-11-04 16:32:01
2025-02-09,Bank America,False,Partner I,T03: 500K to <1M IDR,141,605430.98,UID-00048,2025-12-19 04:20:53
2025-01-01,Unit X,True,Partner P,T06: 25M to <100M IDR,140,72721251.31,UID-00001,2025-01-02 19:45:16
2025-01-11,Unit A,False,Partner A,T09: 1B to <2B IDR,321,1549309744.71,UID-00049,2025-02-16 12:28:30
2025-01-13,Unit Z,False,Partner T,T06: 25M to <100M IDR,186,87693755.33,UID-00050,2025-02-11 06:39:38
