Amaan vs Non-Amaan,business_date,business_unit,customer_flagged,eom_flagged,new_acquired_unique_customers,partner_name,partner_name_total,total_unique_customers,Record Count,Weekly Average

Sharia Non-Amaan,2024-01-02,SME,0,0,463,Partner A,3859,8019,8,164.72
Sharia Amaan,2024-01-27,Retail,0,0,344,Partner A,3606,8110,53,243.62
Sharia Non-Amaan,2024-01-28,Corporate,1,0,59,Partner A,3182,3584,93,11.01
Sharia Amaan,2024-01-20,Corporate,0,0,377,Partner A,2544,8651,69,133.71
Sharia Amaan,2024-01-09,Corporate,1,1,401,Partner C,3996,9921,24,434.58
Sharia Non-Amaan,2024-01-30,Islamic Banking,0,1,183,Partner D,728,1169,43,234.6
Sharia Non-Amaan,2024-02-06,Retail,1,1,356,Partner A,2382,3543,49,232.46
Sharia Amaan,2024-02-12,SME,0,1,98,Partner C,3627,5437,9,63.21
Sharia Non-Amaan,2024-02-14,Islamic Banking,1,0,496,Partner A,1105,5564,79,91.55
Sharia Non-Amaan,2024-01-05,Corporate,1,0,470,Partner B,1828,8100,60,341.18
Sharia Non-Amaan,2024-02-13,SME,1,1,79,Partner B,3249,7588,25,348.18
Sharia Amaan,2024-02-11,Corporate,0,1,220,Partner A,2838,8540,64,480.27
Sharia Amaan,2024-02-07,Corporate,0,1,339,Partner C,4455,6751,62,75.17
Sharia Amaan,2024-01-13,Retail,0,1,210,Partner D,3555,2676,16,73.44
Sharia Amaan,2024-01-06,SME,0,0,85,Partner C,232,3289,6,151.02
Sharia Non-Amaan,2024-01-24,SME,0,0,465,Partner A,3460,3527,51,122.81
Sharia Amaan,2024-02-19,SME,1,0,119,Partner C,3197,7830,57,421.23
Sharia Non-Amaan,2024-02-01,SME,0,0,113,Partner C,2713,2200,3,284.07
Sharia Amaan,2024-02-10,SME,0,0,467,Partner D,1146,4256,54,238.68
Sharia Amaan,2024-02-04,SME,1,1,293,Partner A,4356,8813,85,345.25
Sharia Amaan,2024-02-08,Retail,1,0,96,Partner C,4323,8542,1,448.58
Sharia Amaan,2024-02-05,Retail,1,1,301,Partner A,4225,3943,95,175.54
Sharia Non-Amaan,2024-01-19,Islamic Banking,0,1,375,Partner B,784,1348,22,238.98
Sharia Non-Amaan,2024-01-03,Corporate,0,1,191,Partner B,3725,1860,62,17.12
Sharia Amaan,2024-01-22,SME,0,0,211,Partner A,4638,3448,84,62.25
Sharia Non-Amaan,2024-01-21,Retail,1,0,40,Partner D,1322,5530,57,310.51
Sharia Amaan,2024-01-07,Corporate,1,0,225,Partner D,138,2590,33,162.64
Sharia Amaan,2024-01-18,Retail,0,1,72,Partner A,1196,3503,65,209.87
Sharia Non-Amaan,2024-01-29,Retail,1,1,196,Partner A,3080,3493,98,207.06
Sharia Non-Amaan,2024-01-25,Corporate,0,0,353,Partner B,3684,4984,58,302.48
Sharia Non-Amaan,2024-01-31,Islamic Banking,0,0,304,Partner D,3033,6200,28,33.18
Sharia Non-Amaan,2024-02-18,SME,1,1,41,Partner A,457,7498,22,117.87
Sharia Amaan,2024-02-09,SME,1,0,39,Partner C,3564,6820,18,203.3
Sharia Non-Amaan,2024-01-31,Retail,1,0,89,Partner C,2442,6215,3,88.81
Sharia Non-Amaan,2024-01-26,Corporate,1,0,53,Partner A,4002,9346,34,43.61
Sharia Non-Amaan,2024-02-15,Retail,1,1,449,Partner D,2006,7355,12,261.24
Sharia Non-Amaan,2024-02-02,Corporate,0,1,412,Partner B,1339,1566,76,108.17
Sharia Amaan,2024-01-08,Retail,1,0,148,Partner B,1535,9999,2,102.86
Sharia Non-Amaan,2024-01-16,Corporate,0,1,443,Partner C,3069,8023,67,312.43
Sharia Amaan,2024-01-04,SME,0,0,449,Partner D,1084,2910,29,271.11
Sharia Non-Amaan,2024-01-14,SME,0,0,433,Partner A,2424,6473,71,340.39
Sharia Amaan,2024-01-12,Retail,0,0,219,Partner A,3474,5889,22,294.07
Sharia Non-Amaan,2024-02-17,Retail,0,1,98,Partner B,1453,1047,30,478.1
Sharia Amaan,2024-02-03,Corporate,1,1,193,Partner A,513,7619,67,360.54
Sharia Amaan,2024-01-10,Retail,1,1,265,Partner C,727,4506,27,184.43
Sharia Non-Amaan,2024-01-23,Corporate,1,1,327,Partner A,3594,4502,71,410.07
Sharia Amaan,2024-01-15,Retail,0,1,285,Partner C,3281,1098,3,465.76
Sharia Amaan,2024-01-17,Corporate,0,1,81,Partner A,4112,3249,78,134.52
Sharia Non-Amaan,2024-01-11,Islamic Banking,1,1,18,Partner C,3722,9417,64,419.46
Sharia Non-Amaan,2024-01-01,Corporate,0,0,251,Partner A,4724,631,8,284.64
